gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	neoplastic	neurons
WNT7B	P56706	False	WNT7B_HUMAN		CPI-CS039773901	0.0	0.081
JAG1	P78504	False	JAG1_HUMAN		CPI-SS01A07768A	0.0	0.12
SORL1	Q92673	False	SORL_HUMAN		CPI-SS07ACDDCD6	0.0	0.032
CD47	Q08722	False	CD47_HUMAN		CPI-SS0339AE950	0.0	0.136
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS09C06644C	0.012	0.176
CADM4	Q8NFZ8	False	CADM4_HUMAN		CPI-SS02D18D12B	0.0	0.032
EPB41L1	Q9H4G0	False	E41L1_HUMAN		CPI-SS0B3829651	0.2	3.218
COPA	P53621	False	COPA_HUMAN		CPI-SS088A0A760	0.246	4.012
APP	P05067	False	A4_HUMAN		CPI-SS0A0718AC5	0.037	0.703
RORA	P35398	False	RORA_HUMAN		CPI-CS0D81115C8	0.003	0.032
RORA	P35398	False	RORA_HUMAN		CPI-CS06C6527F4	0.003	0.032
NR1H2	P55055	False	NR1H2_HUMAN		CPI-CS086D3E39F	0.0	0.095
SEMA4C	Q9C0C4	False	SEM4C_HUMAN		CPI-SS0AB21032D	0.0	0.032
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS0FC01B947	0.006	0.095
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS087E0E3FB	0.006	0.095
EPHA5	P54756	False	EPHA5_HUMAN		CPI-SS09E3F5044	0.0	0.032
EPHB1	P54762	False	EPHB1_HUMAN		CPI-SS0BFD8E056	0.01	0.144
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS04E690D72	0.0	0.081
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS036707F4C	0.0	0.032
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0FE9D6F11	0.0	0.032
PTN	P21246	False	PTN_HUMAN		CPI-SS0BFB29A42	0.0	0.081
SEMA4D	Q92854	False	SEM4D_HUMAN		CPI-SS08FAC0A55	0.0	0.063
SEMA4G	Q9NTN9	False	SEM4G_HUMAN		CPI-SS0C0A61F92	0.0	0.081
SSTR1	P30872	False	SSR1_HUMAN		CPI-SS06CE0CF64	0.006	0.032
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS0E063192D	0.048	1.082
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS0D5E30C6C	0.048	1.082
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS090FC28E1	0.0	0.032
TNFRSF25	Q93038	False	TNR25_HUMAN		CPI-SS079DDF890	0.0	0.063
ROBO1	Q9Y6N7	False	ROBO1_HUMAN		CPI-SS027028983	0.028	0.352
KITLG	P21583	False	SCF_HUMAN		CPI-SS02D7A1DDE	0.0	0.095
SST	P61278	False	SMS_HUMAN		CPI-SS00C069DCB	0.0	0.095
PPIA	P62937	False	PPIA_HUMAN		CPI-SS02DA892C8	0.504	9.182
PNOC	Q13519	False	PNOC_HUMAN		CPI-SS09B2D63C8	0.006	0.126
VLDLR	P98155	False	VLDLR_HUMAN		CPI-SS06DF3325D	0.0	0.05
LRP8	Q14114	False	LRP8_HUMAN		CPI-SS0AD2A36FE	0.003	0.095
NTN4	Q9HB63	False	NET4_HUMAN		CPI-SS070BE6035	0.0	0.032
NTN4	Q9HB63	False	NET4_HUMAN		CPI-SS0A1028EF5	0.0	0.032
