gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	neoplastic	oligo_cells
SIRPA	P78324	False	SHPS1_HUMAN		CPI-SS068C129D6	0.014	0.139
SORL1	Q92673	False	SORL_HUMAN		CPI-SS07ACDDCD6	0.022	0.223
SORL1	Q92673	False	SORL_HUMAN		CPI-SS083CBFACD	0.022	0.223
CD47	Q08722	False	CD47_HUMAN		CPI-SS0339AE950	0.069	0.682
PTPRK	Q15262	False	PTPRK_HUMAN		CPI-SS0472C478C	0.027	0.269
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS04A97448D	0.083	0.836
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS06B86672A	0.083	0.836
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0735F5C3A	0.083	0.836
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS034D36D2F	0.01	0.098
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS055E061C9	0.01	0.098
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS033CB0BB2	0.01	0.098
TGFA	P01135	False	TGFA_HUMAN		CPI-SS0E25CE362	0.008	0.08
MIF	P14174	False	MIF_HUMAN		CPI-SS00EDDD458	0.115	1.139
MIF	P14174	False	MIF_HUMAN		CPI-SS0ABC5C1B8	0.115	1.139
GRN	P28799	False	GRN_HUMAN		CPI-SS08CA619FE	0.022	0.224
COPA	P53621	False	COPA_HUMAN		CPI-SS088A0A760	0.039	0.392
COPA	P53621	False	COPA_HUMAN		CPI-SS0302E8E8F	0.039	0.392
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SS0C10824C7	0.018	0.181
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SS0632A027A	0.018	0.181
APP	P05067	False	A4_HUMAN		CPI-SS09808DEAE	0.135	1.361
APP	P05067	False	A4_HUMAN		CPI-SS0A0718AC5	0.135	1.361
NR1H2	P55055	False	NR1H2_HUMAN		CPI-CS086D3E39F	0.015	0.153
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0E00478B4	0.013	0.13
SEMA3C	Q99985	False	SEM3C_HUMAN		CPI-SS0241A1F57	0.018	0.176
PTPRS	Q13332	False	PTPRS_HUMAN		CPI-SS00F4DDF4B	0.015	0.15
PTPRS	Q13332	False	PTPRS_HUMAN		CPI-SS0593F278B	0.015	0.15
TF	P02787	False	TRFE_HUMAN		CPI-SS0AA4D8EF3	0.214	2.155
CXCL8	P10145	False	IL8_HUMAN		CPI-SS052C9BB74	0.024	0.239
CD83	Q01151	False	CD83_HUMAN		CPI-SS00D9A0644	0.01	0.102
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS02E314589	0.02	0.201
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS027E12A36	0.018	0.178
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS04E690D72	0.018	0.178
NCAM1	P13591	False	NCAM1_HUMAN		CPI-SS075189979	0.079	0.796
SEMA4D	Q92854	False	SEM4D_HUMAN		CPI-SS0CCCF7C69	0.041	0.417
FAM19A5	Q7Z5A7	False	TAFA5_HUMAN		CPI-SS078D3318D	0.011	0.11
TAFA5	Q7Z5A7	False	TAFA5_HUMAN		CPI-SS078D3318D	0.011	0.11
PSAP	P07602	False	SAP_HUMAN		CPI-SS0AB647854	0.163	1.632
PSAP	P07602	False	SAP_HUMAN		CPI-SS082900482	0.163	1.632
ADGRE5	P48960	False	CD97_HUMAN		CPI-SS061A7E099	0.012	0.115
PPIA	P62937	False	PPIA_HUMAN		CPI-SS02DA892C8	0.135	1.355
