gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	astrocytes	neoplastic
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CS0A79056B0	0.09	0.004
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CS0DD047CC3	0.09	0.004
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS05EAF93CC	0.759	0.077
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS090FFEDFE	0.759	0.077
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS0D35E69F6	0.195	0.013
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS0C091F24B	0.195	0.013
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0C99F8D96	0.09	0.004
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS017A50010	0.09	0.004
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS08109C435	1.051	0.087
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS0484364A2	1.051	0.087
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS0569B9B91	1.051	0.087
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2A	CPI-CS0DF85303A	0.195	0.013
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2A	CPI-CS01319F57A	0.195	0.013
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2B	CPI-CS08A853007	0.09	0.004
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2B	CPI-CS03DF8BD36	0.09	0.004
DHCR24	Q15392	True	DHC24_HUMAN	Cholesterol_byDHCR24	CPI-CS0D81115C8	0.32	0.033
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	0.745	0.044
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	0.745	0.044
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	0.745	0.044
LIPA	P38571	True	LICH_HUMAN	Cholesterol_byLIPA	CPI-CS0406B0B69	0.852	0.075
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	1.431	0.118
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	1.431	0.118
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	0.054	0.006
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	0.222	0.017
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	0.095	0.011
PNMT	P11086	True	PNMT_HUMAN	Epinephrine_byPNMT	CPI-CS09918B680	0.15	0.009
PNMT	P11086	True	PNMT_HUMAN	Epinephrine_byPNMT	CPI-CS043102EAA	0.15	0.009
PNMT	P11086	True	PNMT_HUMAN	Epinephrine_byPNMT	CPI-CS05F96EA59	0.15	0.009
LRP5	O75197	True	LRP5_HUMAN	FZD1_LRP5	CPI-CS0CD56A2CC	0.187	0.002
LRP5	O75197	True	LRP5_HUMAN	FZD1_LRP5	CPI-CS08A2C42C8	0.187	0.002
LRP5	O75197	True	LRP5_HUMAN	FZD3_LRP5	CPI-CS0A94347F7	0.256	0.002
LRP5	O75197	True	LRP5_HUMAN	FZD3_LRP5	CPI-CS0D38CFA9D	0.256	0.002
LRP5	O75197	True	LRP5_HUMAN	FZD4_LRP5	CPI-CS0864EE3DE	0.157	0.002
LRP5	O75197	True	LRP5_HUMAN	FZD4_LRP5	CPI-CS0AF87C2AB	0.157	0.002
LRP5	O75197	True	LRP5_HUMAN	FZD4_LRP5	CPI-CS0EFD8682E	0.157	0.002
LRP5	O75197	True	LRP5_HUMAN	FZD5_LRP5	CPI-CS035E6950E	0.136	0.002
LRP5	O75197	True	LRP5_HUMAN	FZD5_LRP5	CPI-CS0722E870D	0.136	0.002
LRP5	O75197	True	LRP5_HUMAN	FZD6_LRP5	CPI-CS0C4B40F75	0.184	0.002
LRP5	O75197	True	LRP5_HUMAN	FZD6_LRP5	CPI-CS0F96B32B8	0.184	0.002
LRP5	O75197	True	LRP5_HUMAN	FZD7_LRP5	CPI-CS08F2F1471	0.197	0.002
LRP5	O75197	True	LRP5_HUMAN	FZD7_LRP5	CPI-CS011A5A5AB	0.197	0.002
LRP5	O75197	True	LRP5_HUMAN	FZD8_LRP5	CPI-CS09AF6EAE2	0.111	0.002
LRP5	O75197	True	LRP5_HUMAN	FZD8_LRP5	CPI-CS02C36592B	0.111	0.002
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS0CD56A2CC	0.187	0.002
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS08A2C42C8	0.187	0.002
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS07B775F8D	0.187	0.024
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS064EF7C8D	0.187	0.024
LRP6	O75581	True	LRP6_HUMAN	FZD1_LRP6	CPI-CS07B775F8D	0.187	0.024
LRP6	O75581	True	LRP6_HUMAN	FZD1_LRP6	CPI-CS064EF7C8D	0.187	0.024
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS02B24ACED	1.04	0.069
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS039773901	1.04	0.069
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS0F73F8631	0.157	0.005
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS096FD79C8	0.157	0.005
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS06703B08B	0.136	0.018
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS0854644B2	0.136	0.018
LRP6	O75581	True	LRP6_HUMAN	FZD6_LRP6	CPI-CS06F5B58EC	0.184	0.019
LRP6	O75581	True	LRP6_HUMAN	FZD6_LRP6	CPI-CS01C37C086	0.184	0.019
LRP6	O75581	True	LRP6_HUMAN	FZD7_LRP6	CPI-CS0D35A8B40	0.197	0.031
LRP6	O75581	True	LRP6_HUMAN	FZD7_LRP6	CPI-CS0542286CC	0.197	0.031
LRP6	O75581	True	LRP6_HUMAN	FZD8_LRP6	CPI-CS08643D43B	0.111	0.01
LRP6	O75581	True	LRP6_HUMAN	FZD8_LRP6	CPI-CS044E2BF6D	0.111	0.01
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP5	CPI-CS0A94347F7	0.256	0.002
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP5	CPI-CS0D38CFA9D	0.256	0.002
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP6	CPI-CS02B24ACED	1.04	0.069
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP6	CPI-CS039773901	1.04	0.069
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP5	CPI-CS0864EE3DE	0.157	0.002
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP5	CPI-CS0AF87C2AB	0.157	0.002
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP5	CPI-CS0EFD8682E	0.157	0.002
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP6	CPI-CS0F73F8631	0.157	0.005
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP6	CPI-CS096FD79C8	0.157	0.005
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP5	CPI-CS035E6950E	0.136	0.002
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP5	CPI-CS0722E870D	0.136	0.002
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP6	CPI-CS06703B08B	0.136	0.018
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP6	CPI-CS0854644B2	0.136	0.018
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP5	CPI-CS0C4B40F75	0.184	0.002
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP5	CPI-CS0F96B32B8	0.184	0.002
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP6	CPI-CS06F5B58EC	0.184	0.019
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP6	CPI-CS01C37C086	0.184	0.019
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP5	CPI-CS08F2F1471	0.197	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP5	CPI-CS011A5A5AB	0.197	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP6	CPI-CS0D35A8B40	0.197	0.031
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP6	CPI-CS0542286CC	0.197	0.031
FZD8	Q9H461	True	FZD8_HUMAN	FZD8_LRP5	CPI-CS09AF6EAE2	0.111	0.002
FZD8	Q9H461	True	FZD8_HUMAN	FZD8_LRP5	CPI-CS02C36592B	0.111	0.002
FZD8	Q9H461	True	FZD8_HUMAN	FZD8_LRP6	CPI-CS08643D43B	0.111	0.01
FZD8	Q9H461	True	FZD8_HUMAN	FZD8_LRP6	CPI-CS044E2BF6D	0.111	0.01
IL1R1	P14778	True	IL1R1_HUMAN	IL1_receptor	CPI-CS0465E25F9	0.136	0.013
IL1R1	P14778	True	IL1R1_HUMAN	IL1_receptor	CPI-CS093EA33BE	0.136	0.013
IL1R1	P14778	True	IL1R1_HUMAN	IL1_receptor	CPI-CS01C6805BA	0.136	0.013
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1_receptor	CPI-CS0465E25F9	0.136	0.013
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1_receptor	CPI-CS093EA33BE	0.136	0.013
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1_receptor	CPI-CS01C6805BA	0.136	0.013
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1_receptor_inhibitor	CPI-CS05F37AC7A	0.136	0.013
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1_receptor_inhibitor	CPI-CS09CDFC0C5	0.136	0.013
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1_receptor_inhibitor	CPI-CS0A13FF479	0.136	0.013
IL1R2	P27930	True	IL1R2_HUMAN	IL1_receptor_inhibitor	CPI-CS05F37AC7A	0.136	0.013
IL1R2	P27930	True	IL1R2_HUMAN	IL1_receptor_inhibitor	CPI-CS09CDFC0C5	0.136	0.013
IL1R2	P27930	True	IL1R2_HUMAN	IL1_receptor_inhibitor	CPI-CS0A13FF479	0.136	0.013
LIFR	P42702	True	LIFR_HUMAN	LIFR	CPI-CS0E661878B	2.88	0.206
IL6ST	P40189	True	IL6RB_HUMAN	LIFR	CPI-CS0E661878B	2.88	0.206
IL6ST	P40189	True	IL6RB_HUMAN	OSMR	CPI-CS06D50EBF8	0.309	0.022
OSMR	Q99650	True	OSMR_HUMAN	OSMR	CPI-CS06D50EBF8	0.309	0.022
NRP1	O14786	True	NRP1_HUMAN	PlexinA1_complex3	CPI-CS0E5D1ECCE	0.281	0.033
NRP1	O14786	True	NRP1_HUMAN	PlexinA2_complex1	CPI-CS0D238C22B	0.743	0.05
NRP1	O14786	True	NRP1_HUMAN	PlexinA2_complex1	CPI-CS0837F11F9	0.743	0.05
NRP1	O14786	True	NRP1_HUMAN	PlexinA3_complex1	CPI-CS0AA769F5B	0.401	0.05
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	PlexinA1_complex3	CPI-CS0E5D1ECCE	0.281	0.033
PLXNA2	O75051	True	PLXA2_HUMAN	PlexinA2_complex1	CPI-CS0D238C22B	0.743	0.05
PLXNA2	O75051	True	PLXA2_HUMAN	PlexinA2_complex1	CPI-CS0837F11F9	0.743	0.05
PLXNA3	P51805	True	PLXA3_HUMAN	PlexinA3_complex1	CPI-CS0AA769F5B	0.401	0.05
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0795802F6	0.02	0.003
CSF1	P09603	False	CSF1_HUMAN		CPI-SS03105D292	0.822	0.072
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	1.848	0.137
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	1.158	0.089
TYROBP	O43914	False	TYOBP_HUMAN		CPI-SS014C07723	0.315	0.027
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.739	0.065
SPP1	P10451	False	OSTP_HUMAN		CPI-SC069FF84F5	1.848	0.137
TNC	P24821	False	TENA_HUMAN		CPI-SC0B5F57CE1	0.487	0.04
VCAM1	P19320	False	VCAM1_HUMAN		CPI-SC061E89E41	0.031	0.003
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0E41702C1	0.02	0.001
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	1.345	0.114
LRPAP1	P30533	False	AMRP_HUMAN		CPI-SS02A53F29E	2.394	0.17
COPA	P53621	False	COPA_HUMAN		CPI-SS04F3A1E5C	2.144	0.153
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS02A0FF87F	1.243	0.093
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.822	0.072
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.248	0.041
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	1.339	0.101
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	4.269	0.339
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.843	0.065
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0B87FE6E0	1.225	0.098
CD46	P15529	False	MCP_HUMAN		CPI-SS01A07768A	0.858	0.068
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS01CA704DD	1.225	0.098
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS0DC9D2C55	3.262	0.244
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0607D1101	1.225	0.098
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS003C9A532	3.262	0.244
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS09D379E5B	0.636	0.054
APP	P05067	False	A4_HUMAN		CPI-SS07ACDDCD6	0.673	0.04
MDK	P21741	False	MK_HUMAN		CPI-SS083CBFACD	1.183	0.099
MDK	P21741	False	MK_HUMAN		CPI-SS006C6537E	1.183	0.099
SIRPA	P78324	False	SHPS1_HUMAN		CPI-SS0339AE950	2.8	0.218
BMP7	P18075	False	BMP7_HUMAN		CPI-SS0472C478C	2.092	0.181
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	1.339	0.101
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	4.269	0.339
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	1.339	0.101
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	1.339	0.101
FN1	P02751	False	FINC_HUMAN		CPI-SC08C485EAE	1.25	0.103
LAMA3	Q16787	False	LAMA3_HUMAN		CPI-SC0E5A1BA8E	0.124	0.011
FN1	P02751	False	FINC_HUMAN		CPI-SC06C3BA86F	1.25	0.103
FBN1	P35555	False	FBN1_HUMAN		CPI-SC0ABE9B7D2	0.122	0.009
FN1	P02751	False	FINC_HUMAN		CPI-SC08F923F07	1.25	0.103
FN1	P02751	False	FINC_HUMAN		CPI-SC09B45FB39	1.25	0.103
LAMC1	P11047	False	LAMC1_HUMAN		CPI-SC024FAED24	0.408	0.041
LAMC1	P11047	False	LAMC1_HUMAN		CPI-SC03FF6E42F	0.408	0.041
THY1	P04216	False	THY1_HUMAN		CPI-SC0EFDBED2D	0.174	0.018
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SC08CB03AD8	0.291	0.03
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	1.158	0.089
FGF1	P05230	False	FGF1_HUMAN		CPI-SS04A97448D	1.912	0.148
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	1.552	0.114
TIMP1	P01033	False	TIMP1_HUMAN		CPI-SS0735F5C3A	3.15	0.263
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0E928B8C8	0.019	0.001
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0D636A374	1.158	0.089
FGF1	P05230	False	FGF1_HUMAN		CPI-SS015819E65	1.912	0.148
FGF7	P21781	False	FGF7_HUMAN		CPI-SS00E68BB92	0.019	0.001
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0BF3ED143	2.284	0.188
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	1.158	0.089
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	1.912	0.148
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0CB6968B9	1.158	0.089
FGF1	P05230	False	FGF1_HUMAN		CPI-SS068C742A1	1.912	0.148
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.071	0.004
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.133	0.013
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SS0178F5C45	1.085	0.073
IGF1	P05019	False	IGF1_HUMAN		CPI-SC0322BA9B5	0.02	0.001
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	1.705	0.137
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.172	0.011
HLA-C	HLAC	False	HLAC		CPI-SS034D36D2F	3.725	0.291
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	1.78	0.133
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	0.082	0.007
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS064281234	1.78	0.133
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS0BAB345B5	0.071	0.004
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SC0DABCC4B5	0.071	0.004
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SC051FC855D	0.133	0.013
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SC070741884	1.085	0.073
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SC01AADFEB3	0.071	0.004
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SC074D3FFBC	0.133	0.013
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SC0F36DD437	1.085	0.073
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SC0202406F0	0.133	0.013
CCL2	P13500	False	CCL2_HUMAN		CPI-SS08B249DBA	1.378	0.123
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0055264F3	1.997	0.156
EGFR	P00533	False	EGFR_HUMAN		CPI-SS00EDDD458	1.997	0.156
CD74	P04233	False	HG2A_HUMAN		CPI-SS0ABC5C1B8	1.548	0.104
EGFR	P00533	False	EGFR_HUMAN		CPI-SS08CA619FE	1.997	0.156
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	1.348	0.1
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.205	0.021
EGFR	P00533	False	EGFR_HUMAN		CPI-SS088A0A760	1.997	0.156
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	1.548	0.104
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0C10824C7	1.997	0.156
CD44	P16070	False	CD44_HUMAN		CPI-SS0632A027A	1.552	0.114
ERBB2	P04626	False	ERBB2_HUMAN		CPI-SS00CFAFE79	0.818	0.064
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS03098AC28	1.473	0.126
CD74	P04233	False	HG2A_HUMAN		CPI-SS09808DEAE	1.548	0.104
TNFRSF21	O75509	False	TNR21_HUMAN		CPI-SS0A0718AC5	0.09	0.007
IL1B	P01584	False	IL1B_HUMAN		CPI-SS0C6448B94	0.27	0.027
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0DE0A486F	0.784	0.05
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0E00478B4	0.301	0.024
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0855C0353	0.784	0.05
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0D22A09AD	0.301	0.024
NRP1	O14786	False	NRP1_HUMAN		CPI-SS033E6DE7E	0.784	0.05
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS098425155	0.205	0.013
NRP1	O14786	False	NRP1_HUMAN		CPI-SS08083B141	0.784	0.05
PTN	P21246	False	PTN_HUMAN		CPI-SS00F4DDF4B	5.14	0.4
AGRN	O00468	False	AGRIN_HUMAN		CPI-SS0593F278B	0.194	0.017
DLL1	O00548	False	DLL1_HUMAN		CPI-SS04A5D6B6F	0.252	0.019
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0AB21032D	1.338	0.091
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0F9B3B259	1.074	0.067
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0A83A7E30	1.074	0.067
ACKR3	P25106	False	ACKR3_HUMAN		CPI-SS07155793F	0.496	0.042
TFRC	P02786	False	TFR1_HUMAN		CPI-SS0AA4D8EF3	2.531	0.178
TFRC	P02786	False	TFR1_HUMAN		CPI-SS0651A6E1F	2.531	0.178
C3	P01024	False	CO3_HUMAN		CPI-SS03E48EFEA	0.396	0.033
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	0.3	0.025
NR3C1	P04150	False	GCR_HUMAN		CPI-SS0A84B95C5	0.956	0.09
NR3C1	P04150	False	GCR_HUMAN		CPI-SS052C9BB74	0.956	0.09
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS06A0B20BD	2.284	0.188
FGFR3	P22607	False	FGFR3_HUMAN		CPI-SS0D1AE5C79	3.376	0.259
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0EBFE1854	0.474	0.046
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	0.25	0.032
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	0.786	0.058
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS00D9A0644	2.284	0.188
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0EE9E214A	2.284	0.188
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS098F416C1	2.284	0.188
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS082ABF1EA	0.786	0.058
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS0BFD8E056	0.786	0.058
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS030BB46BB	0.932	0.081
APP	P05067	False	A4_HUMAN		CPI-SS0F66EA6BE	0.673	0.04
SAA1	P0DJI8	False	SAA1_HUMAN		CPI-SS05F45873A	0.105	0.007
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0F739D3DB	0.932	0.081
MDK	P21741	False	MK_HUMAN		CPI-SS027E12A36	1.183	0.099
PTN	P21246	False	PTN_HUMAN		CPI-SS04E690D72	5.14	0.4
WNT7A	O00755	False	WNT7A_HUMAN		CPI-SS001D0E553	0.316	0.028
WNT7B	P56706	False	WNT7B_HUMAN		CPI-SS050373228	0.405	0.039
WNT7A	O00755	False	WNT7A_HUMAN		CPI-SS0F5CC57E2	0.316	0.028
WNT7B	P56706	False	WNT7B_HUMAN		CPI-SS0D10CE481	0.405	0.039
GDF11	O95390	False	GDF11_HUMAN		CPI-SS0331C5A49	0.19	0.016
WNT7A	O00755	False	WNT7A_HUMAN		CPI-SS0A81A3626	0.316	0.028
AGRN	O00468	False	AGRIN_HUMAN		CPI-SS075189979	0.194	0.017
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS039799099	1.267	0.091
