gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	microglial_cell	neoplastic
ITGA4	P13612	True	ITA4_HUMAN	integrin_a4b1_complex	CPI-SC0E029AB31	0.037	0.006
ITGA4	P13612	True	ITA4_HUMAN	integrin_a4b1_complex	CPI-SC0C2126F8E	0.037	0.006
ITGA5	P08648	True	ITA5_HUMAN	integrin_a5b1_complex	CPI-SC06C3BA86F	0.079	0.009
ITGA9	Q13797	True	ITA9_HUMAN	integrin_a9b1_complex	CPI-SC069FF84F5	0.028	0.003
ITGB2	P05107	True	ITB2_HUMAN	integrin_aLb2_complex	CPI-SC00035437A	0.087	0.01
ITGB2	P05107	True	ITB2_HUMAN	integrin_aLb2_complex	CPI-SC0943ECD6E	0.087	0.01
ITGB2	P05107	True	ITB2_HUMAN	integrin_aLb2_complex	CPI-SC09DC9200A	0.087	0.01
ITGB2	P05107	True	ITB2_HUMAN	integrin_aLb2_complex	CPI-SC0DEE2AF32	0.087	0.01
ITGB2	P05107	True	ITB2_HUMAN	integrin_aMb2_complex	CPI-SC0C09120F1	0.203	0.023
ITGB2	P05107	True	ITB2_HUMAN	integrin_aMb2_complex	CPI-SC0C93C7670	0.203	0.023
ITGB2	P05107	True	ITB2_HUMAN	integrin_aXb2_complex	CPI-SC08CB03AD8	0.4	0.039
ITGAL	P20701	True	ITAL_HUMAN	integrin_aLb2_complex	CPI-SC00035437A	0.087	0.01
ITGAL	P20701	True	ITAL_HUMAN	integrin_aLb2_complex	CPI-SC0943ECD6E	0.087	0.01
ITGAL	P20701	True	ITAL_HUMAN	integrin_aLb2_complex	CPI-SC09DC9200A	0.087	0.01
ITGAL	P20701	True	ITAL_HUMAN	integrin_aLb2_complex	CPI-SC0DEE2AF32	0.087	0.01
ITGAM	P11215	True	ITAM_HUMAN	integrin_aMb2_complex	CPI-SC0C09120F1	0.203	0.023
ITGAM	P11215	True	ITAM_HUMAN	integrin_aMb2_complex	CPI-SC0C93C7670	0.203	0.023
ITGAV	P06756	True	ITAV_HUMAN	integrin_aVb1_complex	CPI-SC08F923F07	0.416	0.051
ITGAV	P06756	True	ITAV_HUMAN	integrin_aVb5_complex	CPI-SC09B45FB39	0.13	0.014
ITGB5	P18084	True	ITB5_HUMAN	integrin_aVb5_complex	CPI-SC09B45FB39	0.13	0.014
ITGAX	P20702	True	ITAX_HUMAN	integrin_aXb2_complex	CPI-SC08CB03AD8	0.4	0.039
LTB4R	Q15722	False	LT4R1_HUMAN		CPI-CS0A5B6BD7A	0.058	0.007
LTB4R	Q15722	False	LT4R1_HUMAN		CPI-CS047D9C0D7	0.058	0.007
CYSLTR1	Q9Y271	False	CLTR1_HUMAN		CPI-CS0891F5216	0.085	0.009
CYSLTR1	Q9Y271	False	CLTR1_HUMAN		CPI-CS048E474A5	0.085	0.009
CYSLTR1	Q9Y271	False	CLTR1_HUMAN		CPI-CS087E1C654	0.085	0.009
CCR5	P51681	False	CCR5_HUMAN		CPI-SS0D1D95883	0.06	0.006
CCR5	P51681	False	CCR5_HUMAN		CPI-SS0B01D306C	0.06	0.006
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0A021DB6E	0.463	0.046
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0E1735D13	0.463	0.046
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0817CE2B3	0.463	0.046
CD44	P16070	False	CD44_HUMAN		CPI-SS02AB0C3E0	0.164	0.015
CD44	P16070	False	CD44_HUMAN		CPI-SS0703338F5	0.164	0.015
CD44	P16070	False	CD44_HUMAN		CPI-SS014C07723	0.164	0.015
CD44	P16070	False	CD44_HUMAN		CPI-SS03722104E	0.164	0.015
PTGER4	P35408	False	PE2R4_HUMAN		CPI-SS0C1BD22BC	0.603	0.044
SORT1	Q99523	False	SORT_HUMAN		CPI-SS07CCAD9BF	0.203	0.023
SORT1	Q99523	False	SORT_HUMAN		CPI-SS02A53F29E	0.203	0.023
SORT1	Q99523	False	SORT_HUMAN		CPI-SS04F3A1E5C	0.203	0.023
CLEC2D	Q9UHP7	False	CLC2D_HUMAN		CPI-SS02A0FF87F	0.076	0.008
SIRPA	P78324	False	SHPS1_HUMAN		CPI-SS068C129D6	0.413	0.041
MRC2	Q9UBG0	False	MRC2_HUMAN		CPI-SS048346C2B	0.14	0.016
SORL1	Q92673	False	SORL_HUMAN		CPI-SS09C52F54E	0.684	0.083
SORL1	Q92673	False	SORL_HUMAN		CPI-SS07ACDDCD6	0.684	0.083
SORL1	Q92673	False	SORL_HUMAN		CPI-SS083CBFACD	0.684	0.083
SLC1A5	Q15758	False	AAAT_HUMAN		CPI-SS002DF6C31	0.233	0.023
P4HB	P07237	False	PDIA1_HUMAN		CPI-SS0CE693E3E	0.643	0.062
LRP1	Q07954	False	LRP1_HUMAN		CPI-SS0419B80C4	0.346	0.04
LRP1	Q07954	False	LRP1_HUMAN		CPI-SS02928C71A	0.346	0.04
LRP1	Q07954	False	LRP1_HUMAN		CPI-SS006C6537E	0.346	0.04
CD47	Q08722	False	CD47_HUMAN		CPI-SS014958F32	0.334	0.033
CD47	Q08722	False	CD47_HUMAN		CPI-SS0339AE950	0.334	0.033
COLEC12	Q5KU26	False	COL12_HUMAN		CPI-SS08877A081	0.033	0.002
HAVCR2	Q8TDQ0	False	HAVR2_HUMAN		CPI-SS0E23CEB91	1.049	0.1
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS06207F70E	0.239	0.021
CD36	P16671	False	CD36_HUMAN		CPI-SS0C93E48D7	0.045	0.003
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS034D36D2F	0.214	0.02
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS055E061C9	0.214	0.02
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS033CB0BB2	0.214	0.02
LILRB2	Q8N423	False	LIRB2_HUMAN		CPI-SS0EAB03260	0.087	0.009
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS0055264F3	0.504	0.056
MIF	P14174	False	MIF_HUMAN		CPI-SS00EDDD458	0.772	0.069
MIF	P14174	False	MIF_HUMAN		CPI-SS0ABC5C1B8	0.772	0.069
AREG	P15514	False	AREG_HUMAN		CPI-SS0481D83A4	0.069	0.006
AREG	P15514	False	AREG_HUMAN		CPI-SS0D4C221B8	0.069	0.006
GRN	P28799	False	GRN_HUMAN		CPI-SS08CA619FE	1.526	0.152
GRN	P28799	False	GRN_HUMAN		CPI-SS0DA033F03	1.526	0.152
GRN	P28799	False	GRN_HUMAN		CPI-SS0C4E86714	1.526	0.152
COPA	P53621	False	COPA_HUMAN		CPI-SS088A0A760	0.268	0.027
COPA	P53621	False	COPA_HUMAN		CPI-SS0302E8E8F	0.268	0.027
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SS0C10824C7	0.545	0.041
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SS0632A027A	0.545	0.041
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS03133B4F2	0.882	0.083
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS0F00D756A	0.882	0.083
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS09648FAA9	0.882	0.083
APP	P05067	False	A4_HUMAN		CPI-SS09808DEAE	0.194	0.017
APP	P05067	False	A4_HUMAN		CPI-SS0A0718AC5	0.194	0.017
SPN	P16150	False	LEUK_HUMAN		CPI-SS09C4FCB90	0.137	0.014
ITGAL	P20701	False	ITAL_HUMAN		CPI-SS0E9A581F8	0.087	0.01
PPARG	P37231	False	PPARG_HUMAN		CPI-CS0412B081A	0.074	0.009
PPARD	Q03181	False	PPARD_HUMAN		CPI-CS0D89E7C19	0.165	0.017
PPARA	Q07869	False	PPARA_HUMAN		CPI-CS099F73A95	0.053	0.006
PPARA	Q07869	False	PPARA_HUMAN		CPI-CS0259A0EB4	0.053	0.006
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS0C6448B94	0.2	0.023
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0DE0A486F	0.157	0.012
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0E00478B4	0.157	0.012
VEGFB	P49765	False	VEGFB_HUMAN		CPI-SS033E6DE7E	0.204	0.025
VEGFB	P49765	False	VEGFB_HUMAN		CPI-SS0947A8549	0.204	0.025
VEGFB	P49765	False	VEGFB_HUMAN		CPI-SS098425155	0.204	0.025
SEMA4C	Q9C0C4	False	SEM4C_HUMAN		CPI-SS0AB21032D	0.059	0.007
RIPK1	Q13546	False	RIPK1_HUMAN		CPI-SS0DEDA3567	0.066	0.007
HFE	Q30201	False	HFE_HUMAN		CPI-SS0651A6E1F	0.032	0.003
C3AR1	Q16581	False	C3AR_HUMAN		CPI-SS03E48EFEA	0.982	0.103
C5AR2	Q9P296	False	C5AR2_HUMAN		CPI-SS00F4019EA	0.051	0.006
IL10	P22301	False	IL10_HUMAN		CPI-CS090610CD1	0.233	0.02
IL10	P22301	False	IL10_HUMAN		CPI-SS0FBFBF63E	0.233	0.02
CCL2	P13500	False	CCL2_HUMAN		CPI-SS0A84B95C5	0.938	0.072
CXCL8	P10145	False	IL8_HUMAN		CPI-SS052C9BB74	1.214	0.104
CCL8	P80075	False	CCL8_HUMAN		CPI-SS0F8C2FA91	0.128	0.011
CCL8	P80075	False	CCL8_HUMAN		CPI-SS0DFAF1FE2	0.128	0.011
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS0898D7F7F	0.313	0.034
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS0AD0ED887	0.313	0.034
IL6	P05231	False	IL6_HUMAN		CPI-CS023BD53E7	0.2	0.017
FPR2	P25090	False	FPR2_HUMAN		CPI-CS0FC36F030	0.043	0.004
FPR2	P25090	False	FPR2_HUMAN		CPI-SS030BB46BB	0.043	0.004
FPR2	P25090	False	FPR2_HUMAN		CPI-SS0F66EA6BE	0.043	0.004
FPR1	P21462	False	FPR1_HUMAN		CPI-SS0F739D3DB	1.145	0.125
FPR3	P25089	False	FPR3_HUMAN		CPI-SS06CCF5A54	0.158	0.018
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS027E12A36	0.097	0.007
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS04E690D72	0.097	0.007
ANTXR1	Q9H6X2	False	ANTR1_HUMAN		CPI-SS0C56C483F	0.038	0.004
