




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (8)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of response to stress (GO:0080134)	1373	6	.53	+	11.25	2.22E-06	1.66E-03
regulation of intracellular signal transduction (GO:1902531)	1721	6	.67	+	8.97	8.32E-06	3.95E-03
regulation of apoptotic process (GO:0042981)	1468	5	.57	+	8.77	8.67E-05	2.19E-02
defense response (GO:0006952)	1478	5	.57	+	8.71	8.95E-05	2.19E-02
regulation of programmed cell death (GO:0043067)	1498	5	.58	+	8.59	9.55E-05	2.23E-02
regulation of immune system process (GO:0002682)	1520	5	.59	+	8.47	1.02E-04	2.36E-02
negative regulation of response to stimulus (GO:0048585)	1620	5	.63	+	7.94	1.39E-04	3.07E-02
immune response (GO:0006955)	1621	5	.63	+	7.94	1.39E-04	3.03E-02
regulation of cell death (GO:0010941)	1654	5	.64	+	7.78	1.53E-04	3.30E-02
cellular response to organic substance (GO:0071310)	2026	6	.79	+	7.62	2.15E-05	7.33E-03
regulation of transport (GO:0051049)	1766	5	.69	+	7.29	2.10E-04	4.16E-02
response to organic substance (GO:0010033)	2704	7	1.05	+	6.66	4.81E-06	2.80E-03
regulation of signal transduction (GO:0009966)	2989	7	1.16	+	6.03	9.56E-06	4.41E-03
cellular response to chemical stimulus (GO:0070887)	2616	6	1.02	+	5.90	9.42E-05	2.24E-02
regulation of cell communication (GO:0010646)	3369	7	1.31	+	5.35	2.17E-05	7.23E-03
regulation of signaling (GO:0023051)	3381	7	1.31	+	5.33	2.22E-05	7.25E-03
regulation of response to stimulus (GO:0048583)	4034	7	1.57	+	4.47	7.39E-05	2.00E-02
response to chemical (GO:0042221)	4060	7	1.58	+	4.44	7.71E-05	2.05E-02
signal transduction (GO:0007165)	4887	7	1.90	+	3.69	2.70E-04	4.98E-02
cellular response to stimulus (GO:0051716)	6569	8	2.55	+	3.13	1.08E-04	2.41E-02
